Issue Type,Epic Name,Summary,Description,Acceptance Criteria,Story Points,Labels,Components,Priority,Assignee Role,Epic Link
Epic,,MAPT-SETUP,"Phase 0: Project Setup and Spikes — Unity project creation, CI pipeline, 3 technical spikes (external display, video pipeline, drawing latency), team standards. Unity 6 LTS project with URP + Android config. GitHub + Git LFS + CI pipeline. Coding standards + folder structure + assembly defs. Initial adaptive icon from logo #1.","- Unity 6 LTS project with URP configured for Android committed to GitHub with Git LFS
- Working CI pipeline (GitHub Actions) building debug APKs
- Spike results for: external display output, video-to-RenderTexture, and touch drawing latency
- Coding standards document, branching strategy, and Jira board populated
- Initial adaptive icon set generated from Maptifier #1 logo",13,setup,core,High,Core Dev Lead,
Story,MAPT-SETUP,Create Unity 6 LTS project with full Android configuration,"Create new Unity 6 LTS (2025.3.x) project using URP template. Configure: IL2CPP, ARM64, Vulkan primary + GLES 3.2 fallback, Linear color space, min SDK 29, target SDK 34. Generate and commit initial adaptive icon set from Maptifier #1 logo (foreground + background layers).","- Project opens cleanly and builds to APK without errors
- Icon shows correctly on launcher and splash
- Player Settings match spec (IL2CPP, ARM64, Vulkan + GLES 3.2, Linear, SDK 29/34)",5,setup,core,High,Core Dev Lead,MAPT-SETUP
Story,MAPT-SETUP,"Set up GitHub repo, Git LFS, and GitHub Actions CI","Create private repo maptifier-android with branch protection on main (require PR reviews). Set up .gitignore (Unity standard), Git LFS for *.png, *.jpg, *.mp4, *.fbx, *.asset, *.shader. Configure GitHub Actions to build debug APK on push to develop and upload artifact.","- CI passes on first push to develop
- Debug APK artifact is downloadable from Actions
- APK installs and launches on test device
- Branch protection rules active on main",5,setup,core,High,Core Dev Lead,MAPT-SETUP
Story,MAPT-SETUP,External Display Spike,"Implement minimal Android Presentation + DisplayManager plugin and C# bridge (NativeDisplayBridge.cs). Test on Samsung S23, Pixel 7, and one Xiaomi device with USB-C HDMI adapter. Document detection latency, supported resolutions, vsync behavior, disconnect handling, and Samsung DeX behavior.","- Content appears on external display within 2 seconds of cable plug-in
- Full documentation of results per device/adapter combo in Wiki or README
- DeX behavior documented with recommended handling",8,spike,display,High,Core Dev Lead,MAPT-SETUP
Story,MAPT-SETUP,Video Pipeline Spike,"Set up VideoPlayer component playing a test 1080p H.264 MP4 to a RenderTexture. Measure decode latency, frame rate, memory usage on mid-range device. Test seek, loop, pause/resume, switching clips. Validate RenderTexture format (ARGB32 vs R8G8B8A8_UNorm) for downstream compositing.","- Runs at >= 30 fps on mid-range device
- RenderTexture format compatible with downstream compositing
- Full performance report with measurements",5,spike,graphics,High,Graphics Dev,MAPT-SETUP
Story,MAPT-SETUP,Drawing Latency Spike,Implement minimal touch to Catmull-Rom spline to GL.Begin/End immediate-mode rendering. Measure touch-to-photon latency (target: under 30 ms perceived). Test EnhancedTouch from new Input System for multi-touch and pressure data availability across devices.,"- Latency < 30 ms perceived on test devices
- Pressure data availability documented per device
- Velocity-based fallback simulation working",5,spike,drawing,High,Graphics Dev,MAPT-SETUP
Story,MAPT-SETUP,"Create coding standards, folder structure, and assembly definitions","Write coding standards doc covering naming conventions, lean MVC architecture, ScriptableObject events, ServiceLocator as only allowed singleton. Create full folder structure (Assets/_Project/Scripts/Core|Display|Drawing|Effects|Input|Layers|Masking|Media|Projects|UI|Warping, Shaders, Materials, Prefabs, UI, Resources, Addressables, Plugins/Android). Create ServiceLocator.cs stub. Set up assembly definitions for each module.","- All devs can reference the standards doc
- Project compiles with zero warnings
- Assembly definitions in place for all modules",3,setup,core,Medium,Core Dev Lead,MAPT-SETUP
Story,MAPT-SETUP,Initial style guide and wireframes,"Designer delivers dark-theme style guide: color palette (navy/cyan/magenta from logo), typography (system sans-serif), spacing/grid system. Wireframes for primary screens: Canvas View, Layer Panel, Effects Drawer, Project List. Touch target sizes minimum 48dp (prefer 56dp for gloved/dark-room use).","- Style guide approved by Product Owner
- Wireframes for all primary screens delivered
- Imported into Figma project",3,design,ui,Medium,UI/UX Designer,MAPT-SETUP
Story,MAPT-SETUP,Device matrix and Firebase setup,"QA creates device matrix spreadsheet (OEM, model, SoC, Android version, USB-C alt-mode support, screen size). Set up Firebase Crashlytics and Firebase Analytics SDKs in Unity project. Install debug APKs from CI on all test devices.","- Spreadsheet shared with team
- Firebase project linked in Unity
- Crashlytics and Analytics verified on at least one device",2,qa,core,Medium,QA Engineer,MAPT-SETUP
Epic,,MAPT-INFRA,"Phase 1: Infrastructure and External Display — Production-quality external display pipeline, input system foundation, base URP rendering loop, and base UI shell. Robust external display detection, connection, resolution negotiation, hot-plug support, and clean output. Input system with gesture recognizers. Dark-themed UI shell.","- External display connects and shows content within 2 seconds of cable plug-in
- Hot-plug 20 times without crash or leak
- Preview on phone matches external output (aspect-ratio corrected)
- Gesture system correctly differentiates tap/drag/pinch/rotate
- Frame rate: 60 fps with static RenderTexture output",21,infrastructure,core,High,Core Dev Lead,
Story,MAPT-INFRA,Implement production DisplayService with hot-plug support,"Refactor spike code into production DisplayService: IDisplayService interface with OnDisplayConnected/OnDisplayDisconnected/OnResolutionChanged events. AndroidDisplayService implementation using DisplayManager.DisplayListener. EditorDisplayService mock for in-editor testing. Resolution negotiation via Display.getSupportedModes(). Handle cable disconnect, app backgrounding, app resume, display resolution change. Vsync strategy: targetFrameRate=60, vSyncCount=0.","- External content renders cleanly on projector
- Phone UI remains private (no UI leak to external)
- Handles unplug/replug gracefully 20+ times without crash
- Resolution negotiated correctly per device
- WakeLock + FLAG_KEEP_SCREEN_ON keeps rendering when screen off",8,infrastructure,display,High,Core Dev Lead,MAPT-INFRA
Story,MAPT-INFRA,Set up new Input System + gesture recognizers,"Configure New Input System with EnhancedTouch enabled (via EnhancedTouchSupport.Enable()). Build InputService: raw touch tracking (up to 10 touches), gesture recognizer state machine (Idle to Tap/Drag/Pinch/Rotate), gesture events, screen-space to canvas-space coordinate transformer. Implement canvas viewport: pan (two-finger drag), zoom (pinch), with inertia and bounds clamping.","- Gestures feel responsive with no conflicts with UI
- Correctly differentiates tap/drag/pinch/rotate with zero false triggers
- Canvas pan/zoom smooth with inertia",5,input,core,High,Core Dev Lead,MAPT-INFRA
Story,MAPT-INFRA,Base URP render loop with CompositeRenderer and ExternalDisplayPass,Create CompositeRenderer: allocate composite RenderTexture matching external display resolution. Blit to phone preview (aspect-ratio letterboxed) AND to external display surface. Implement RenderTexturePool for reusable RT allocation. Set up URP custom ScriptableRendererFeature: CompositePass (blits layer RTs through mixer into composite RT) and ExternalDisplayPass (copies composite RT to external surface with sRGB write-off Material for linear-expecting projectors).,"- 60 fps target hit on external display with no tearing
- Phone preview matches external output (aspect-ratio corrected)
- No RT leaks after 10 minutes of operation
- Color output correct on projectors expecting linear input",5,graphics,core,High,Graphics Dev,MAPT-INFRA
Story,MAPT-INFRA,Build dark-themed UI shell,"Implement base UI Toolkit layout: top bar (project name, settings gear, display status indicator), center canvas preview area (touch-interactive), bottom tool bar (Select, Warp, Mask, Draw, Effects with 56dp icons), right drawer (layer panel, collapsed by default). Dark theme USS stylesheet matching style guide. Display connection status with real-time indicator and toast notifications.","- UI is dark and responsive
- Matches approved style guide
- All touch targets >= 48dp
- Display status indicator shows green/red correctly
- No UI elements visible on external display",5,ui,ui,Medium,UI/UX Dev,MAPT-INFRA
Story,MAPT-INFRA,QA: External display device matrix testing,"Test external display on all devices in matrix with at least 3 different HDMI adapters. Stress test hot-plug (rapid connect/disconnect). Test with HDMI adapter, USB-C hub, wireless dongle (baseline detection). Log and report resolution negotiation results per device/adapter combo. Verify no UI elements appear on external display.","- Test report covering all device/adapter combinations
- All hot-plug tests pass
- Resolution negotiation results documented
- No UI leak to external display confirmed",3,qa,display,High,QA Engineer,MAPT-INFRA
Epic,,MAPT-MAPPING,"Phase 2: Core Mapping Engine — Media import from gallery, 4-corner projective warp, basic mesh warp (4x4 grid), polygon masking, brush masking, undo/redo system. All transforms output correctly to external display.","- Import 1080p photo and video, warp each, see result on projector within 10 seconds of import
- 4-corner warp: drag any corner, preview updates at 60 fps, output matches preview
- Mesh warp (16 control points): drag points smoothly, no tearing, 60 fps
- Polygon mask: create 8+ vertex polygon, mask applies in real time
- Brush mask: paint mask at 60 fps with no visible latency",26,mapping,core,High,Graphics Dev,
Story,MAPT-MAPPING,Media import from Android gallery,"Implement MediaImportService: launch ACTION_PICK/ACTION_GET_CONTENT intent for images and video. Handle content:// URI resolution, copy to app-local storage. Supported formats: JPEG, PNG, WebP (images), MP4 H.264, VP9 (video). Generate 256x256 thumbnail on import. Implement MediaSource abstraction with ImageSource and VideoSource both implementing IMediaSource. Handle Android scoped storage permissions (READ_MEDIA_IMAGES, READ_MEDIA_VIDEO for SDK 33+).","- Supported formats load without crash
- Preview shows in canvas within 3 seconds
- Permission request with rationale dialog works correctly
- Thumbnails generated for project browser
- EXIF orientation handled (rotated images display correctly)
- Images > 4096x4096 downscaled on import",5,import,media,High,Core Dev Lead,MAPT-MAPPING
Story,MAPT-MAPPING,Implement 4-corner projective warp shader,Implement WarpMesh: subdivided quad mesh with configurable resolution. Implement FourCornerWarp with 4 draggable handles. Critical: implement projective texture mapping shader with homogeneous divide in fragment (uv = h.xy / h.w) for true perspective-correct sampling. Not bilinear vertex interpolation which produces bowtie distortion. Vertex positions in NativeArray<float3> for Burst compatibility.,"- No bowtie distortion on trapezoidal warps
- Corners snap accurately when dragged
- 60 fps during active corner dragging on mid-range device
- Handles visible as 20dp circles with highlight on active",8,shader,mapping,High,Graphics Dev,MAPT-MAPPING
Story,MAPT-MAPPING,Basic mesh warp (4x4 grid),Implement MeshWarp: NxM grid of control points (default 4x4). Catmull-Rom or B-spline interpolation between control points for smooth deformation. Vertex buffer updated via Mesh.SetVertices with MeshUpdateFlags.DontRecalculateBounds. Draggable handles at each control point with guide lines and snap-to-grid option.,"- Smooth curves on irregular surfaces
- 16 control points all draggable simultaneously
- No mesh tearing with extreme deformation
- 60 fps during active mesh editing",5,shader,mapping,Medium,Graphics Dev,MAPT-MAPPING
Story,MAPT-MAPPING,Polygon + brush masking tools,"Implement MaskRenderer: renders to single-channel RT (R8 format). Mask RT multiplied with layer RT in composite shader. PolygonMask: tap to place vertices, double-tap/close to complete, ear-clipping triangulation, multiple polygons (additive/subtractive), invert mode. BrushMask: stamp-based rendering along touch path, adjustable radius (pinch) and hardness (slider), eraser mode (BlendOp RevSub). Both serializable for project save.","- Masked areas transparent on output
- Polygon with 8+ vertices works correctly
- Brush mask paints at 60 fps with no visible latency
- Eraser mode removes mask cleanly
- Invert mode works correctly",5,masking,core,Medium,Graphics Dev,MAPT-MAPPING
Story,MAPT-MAPPING,Undo/redo system (Command pattern),"Implement undo/redo using Command pattern (ScriptableObject-based). Support warp changes, mask changes, drawing strokes. Ring buffer limited to 20 actions. Undo/redo buttons in toolbar with disabled state when stack empty.","- Undo/redo works for all mapping operations
- Stack correctly limited to 20 actions
- Buttons reflect available actions",3,core,core,Medium,Core Dev Lead,MAPT-MAPPING
Story,MAPT-MAPPING,Warp and mask mode UI,"Warp mode UI: show/hide control point handles, corner vs. mesh mode toggle. Mask mode UI: polygon tool, brush tool, radius slider, hardness slider, invert toggle, clear button. Tool switching: bottom bar highlights active tool, shows relevant sub-options. Import button: FAB or menu item launching gallery picker.","- Tool switching feels intuitive
- Correct sub-options appear per tool
- All sliders responsive and correctly sized for touch",3,ui,ui,Medium,UI/UX Dev,MAPT-MAPPING
Story,MAPT-MAPPING,QA: Media import and mapping edge cases,"Test import with: tiny images (16x16), huge images (8K), corrupt files, DRM-protected video, various codecs, EXIF-rotated images. Test warp with: extreme corner positions, overlapping corners, very thin trapezoids, degenerate mesh triangles. Test mask with: complex polygons (50+ vertices), rapid brush painting. Memory profiling: import 10+ high-res images. Test on different aspect ratios (16:9, 20:9, foldables).","- No crashes on any edge case input
- Graceful error messages for unsupported formats
- Memory stays under 512 MB with 10+ imported images
- All aspect ratios render correctly",3,qa,mapping,High,QA Engineer,MAPT-MAPPING
Epic,,MAPT-CREATIVE,"Phase 3: Creative Tools — Drawing and Effects — Fluid real-time drawing engine with pressure/velocity simulation, stroke smoothing with prediction buffer. 5-8 real-time GPU effects: kaleidoscope, tunnel, color cycle/morph, wave distortion, pixelate, edge glow, chromatic aberration, blur. Effect parameter UI with live preview. Effects apply per-layer before mixing.","- Drawing feels fluid and responsive (< 20 ms touch-to-pixel latency) on mid-range devices
- Stroke rendering smooth (no visible segmentation) at fast swipe speeds
- Each effect runs at 60 fps individually on mid-range device
- 2 effects stacked per layer still maintains 60 fps
- Effect parameter changes preview in real time with no stutter",26,creative,core,High,Graphics Dev,
Story,MAPT-CREATIVE,Fluid drawing engine with pressure/velocity simulation,"Implement DrawingCanvas: dedicated RenderTexture per layer. Stroke rendering pipeline: capture touch points via EnhancedTouch, fit Catmull-Rom spline (4-point window), adaptive subdivision, stamp brush texture with interpolated size/opacity. Size = base * pressure * velocity curve. Implement 1-2 frame prediction buffer for 60 Hz touch devices. Pressure simulation: velocity-based fallback (fast=thin, slow=thick). Soft round brush (Gaussian 64x64) and hard round brush. Use premultiplied alpha. Undo via RT snapshot ring buffer (20 states). Clear canvas and eraser tool.","- Drawing feels natural on all test devices
- Pressure affects thickness/opacity correctly
- Prediction buffer reduces perceived latency on 60 Hz touch devices
- Samsung S Pen true pressure values preferred when available
- No dark fringing at stroke edges (premultiplied alpha)
- Undo ring buffer works without exceeding memory budget",8,drawing,creative,High,Graphics Dev,MAPT-CREATIVE
Story,MAPT-CREATIVE,Implement 5-8 real-time GPU effects,"Implement EffectPipeline: ordered IEffect list per layer, ping-pong temp RTs, max 3 effects per layer. Effects via Shader Graph + hand-written fallback: (1) Kaleidoscope - polar UV modulo, params: segments 2-32, rotation, center. (2) Tunnel/Zoom - polar UV + animated radius. (3) Color Cycle - HSV hue shift over time. (4) Wave Distortion - sinusoidal UV displacement. (5) Pixelate - UV grid quantization. (6) Edge Glow - Sobel + color overlay. (7) Chromatic Aberration - RGB channel UV offset. (8) Blur - Dual Kawase (mobile-efficient). All shaders use half precision except UVs, minimize texture samples, avoid branching, use step/lerp.","- All 8 effects run at 60 fps individually on mid-range device
- 2 effects stacked maintain 60 fps on mid-range
- Parameters update in real time with no stutter
- Shaders pass Mali Offline Compiler analysis without warnings
- All marked with UniversalPipeline render tag",8,effects,shader,High,Graphics Dev,MAPT-CREATIVE
Story,MAPT-CREATIVE,Drawing toolbar and color picker UI,"Drawing toolbar: brush type selector, color picker (HSV wheel + recent colors strip), size slider (with preview circle), opacity slider. Color picker: compact HSV wheel expanding on tap, eye-dropper tool (tap canvas to sample color). All controls minimum 48dp touch targets.","- Color picker responsive and intuitive
- Eye-dropper samples correctly from canvas
- Size preview circle updates in real time
- Recent colors strip shows last 8 used colors",5,ui,ui,Medium,UI/UX Dev,MAPT-CREATIVE
Story,MAPT-CREATIVE,Effect browser and parameter UI,Scrollable grid of effect thumbnails with live-preview icons. Tap to add effect to current layer. Active effects show as cards with parameter sliders. Drag to reorder effects chain. Swipe to remove. Real-time preview: parameter changes apply immediately (no apply button).,"- User can browse, select, and tweak effects fluidly
- Effect chain order changeable by drag
- Removal via swipe gesture works
- All parameter changes preview instantly",5,ui,ui,Medium,UI/UX Dev,MAPT-CREATIVE
