Issue Type,Epic Name,Summary,Description,Acceptance Criteria,Story Points,Labels,Components,Priority,Assignee Role,Epic Link
Story,MAPT-CREATIVE,QA: Drawing and effects testing,"Drawing latency measurement via high-speed camera. Effect performance profiling: solo and combinations (2x, 3x stacked). Test drawing with: stylus (Samsung S Pen), finger, fast swipes, slow strokes, multi-touch. Test effects with: 4K source, video source, extreme parameter values. Memory profiling: undo stack with 20 drawing states.","- Latency measurements documented per device
- Performance numbers for all effect combinations
- No crashes with extreme parameter values
- Undo stack memory under budget",3,qa,creative,High,QA Engineer,MAPT-CREATIVE
Epic,,MAPT-LAYERS,"Phase 4: Layers, Mixing and Performance — Two independent layers (A/B), each with own media, warp, mask, drawing, effects. Live crossfade slider with multiple blend modes. Layer solo/mute/opacity. Performance optimization: shader variant stripping, GC elimination, adaptive quality system with user-visible Performance Mode toggle.","- Both layers active with media + 1 effect each: 60 fps on mid-range device
- Crossfade slider produces smooth, real-time blend with no stutter
- Memory usage under 512 MB total with both layers fully loaded
- No GC spikes > 2 ms during mixing operations
- Adaptive quality degrades gracefully",21,layers,core,High,Graphics Dev,
Story,MAPT-LAYERS,Dual independent RenderTexture layer system,"Implement LayerManager: manages two Layer instances (A and B). Each Layer owns: MediaSource, WarpMesh, MaskRenderer, DrawingCanvas, EffectPipeline, RenderTexture outputRT. Rendering is sequential: Layer A -> Layer B -> mix -> composite -> external display. Layer controls: solo, mute, opacity (per-layer alpha multiplier).","- Layers independently configurable
- Layers can be swapped and opacity controlled
- Solo/mute work correctly
- Layer with no content renders as transparent (not black)",5,layers,graphics,High,Graphics Dev,MAPT-LAYERS
Story,MAPT-LAYERS,Live crossfade mixer + blend modes,"Implement LayerMixer: crossfade output = lerp(layerA, layerB, mixValue). Blend modes via custom shader using MaterialPropertyBlock: Normal, Additive, Multiply, Screen, Overlay, Difference. Blend mode and mix value controlled by UI slider + mode picker. Single blit pass.","- Smooth transitions between layers
- All 6 blend modes look correct
- Crossfade slider responsive at 60 fps
- Blend with fully transparent layer has no visual artifact",5,mixing,graphics,High,Graphics Dev,MAPT-LAYERS
Story,MAPT-LAYERS,Implement adaptive quality system with Performance Mode,"Monitor frame time via FrameTimingManager. If > 14 ms for 10 consecutive frames: (1) reduce effect quality, (2) reduce composite RT resolution (75% -> 50%), (3) disable least-recently-added effect. Step back up when < 10 ms for 30 frames. Implement GPU capability tiers: Tier 1 (flagship) full quality, Tier 2 (mid-range) 75% RT, Tier 3 (low-end) 50% RT. User toggle in Settings: Performance Mode (forces Tier 2) vs Quality Mode (full, adaptive). Default to Quality Mode on first launch, persist in PlayerPrefs. Show toast on first switch: 'Performance Mode enabled - ideal for live shows'.","- Sustained 60 fps on mid-range during dual-layer + effects
- Adaptive quality kicks in before visible frame drops
- Performance Mode toggle works and persists across launches
- Toast appears on first mode switch only",8,perf,core,High,Graphics Dev,MAPT-LAYERS
Story,MAPT-LAYERS,Performance optimization pass: GC elimination and shader stripping,"Shader variant stripping: audit URP variants, strip unused (fog, lightmaps). RenderTexture audit: ensure proper release, use GetTemporary/ReleaseTemporary. Draw call optimization: batch UI, MaterialPropertyBlock, minimize material switches. GC elimination: audit per-frame allocations, StringBuilder/Span<char>, NativeArray/NativeList, cache component refs, stackalloc for small arrays. GPU profiling: Mali Offline Compiler / Adreno GPU Profiler.","- Zero per-frame GC allocations on hot paths
- Shader build size reduced by >= 30 MB
- No RT leaks after 30-minute run
- GPU profiling report for all target GPUs",5,perf,core,High,Graphics Dev,MAPT-LAYERS
Story,MAPT-LAYERS,Layer panel and crossfade mixer UI,"Layer panel (right drawer): two layer cards with thumbnail preview, media name, effect badges, solo/mute/opacity controls. Tap to select active layer. Crossfade slider: horizontal at bottom of canvas, large thumb. Blend mode picker: dropdown on mixer slider. Performance indicator: subtle colored dot (green/yellow/red) in status bar.","- Layer panel intuitive and responsive
- Crossfade slider thumb easy to grab
- Active layer clearly indicated
- Performance dot updates in real time",3,ui,ui,Medium,UI/UX Dev,MAPT-LAYERS
Story,MAPT-LAYERS,QA: Layer and performance testing,Performance test matrix: all combinations of (no media/image/video) x (no effects/1/2 effects) x (no drawing/drawing) across both layers. Memory leak test: 30-minute continuous layer switching. Crossfade smoothness: continuous slider for 60 seconds. Test on Snapdragon 695 class: verify adaptive quality kicks in. Test dual video decode: verify fallback when only 1 decoder available.,"- All performance combinations documented
- No memory leaks after 30 minutes
- Crossfade maintains 60 fps during continuous use
- Adaptive quality verified on low-tier device",3,qa,layers,High,QA Engineer,MAPT-LAYERS
Epic,,MAPT-EXPORT,"Phase 5: Import/Export and Project System — Project save/load (all settings, warp state, masks, drawings, media references, effect configs). Project browser with thumbnails and metadata. Video clip export (MP4) and screenshot export (PNG). Auto-save every 60 seconds without frame drop.","- Save and reload complex project with perfect fidelity
- Project browser shows all saved projects with thumbnails
- Export 10-second 1080p MP4 in under 30 seconds on mid-range device
- Auto-save triggers every 60 seconds without frame drop",16,export,core,High,Core Dev Lead,
Story,MAPT-EXPORT,JSON project save/load with auto-save,"Define ProjectData JSON schema (version, name, timestamps, resolution, layers with media/warp/mask/drawing/effects, mixer state). Implement ProjectManager: SaveProject (serialize to JSON, save drawing RTs as PNG, copy media, capture thumbnail), LoadProject, DeleteProject, ListProjects. Projects in Application.persistentDataPath/Projects/{guid}/. Auto-save: timer-based (60s) + event-based, .autosave subfolder, rotate last 3. Non-blocking: JSON on main thread, textures on background thread. Note: Texture2D.EncodeToPNG() must run on main thread via coroutine.","- Projects save and load with perfect fidelity (pixel-level comparison)
- Auto-save at 60-second intervals without frame drop
- 256x256 thumbnails generated for browser
- Corrupt project JSON shows error, does not crash
- Missing media shows placeholder, does not crash",5,save,core,High,Core Dev Lead,MAPT-EXPORT
Story,MAPT-EXPORT,Video clip and screenshot export,"Implement ExportService. Screenshot: ReadPixels from composite RT, EncodeToPNG, save to gallery via MediaStore API. Video export: Use Unity Recorder (free in 6.x) for dev prototyping; switch to custom AsyncGPUReadback + Android MediaCodec (H.264 hardware encoder) + MediaMuxer pipeline for release (avoids Recorder watermark/license issues). Target: 1080p @ 30 fps. Progress bar with cancel. Save to Movies/Maptifier/ via MediaStore. Note: AsyncGPUReadback has 2-3 frame latency; buffer frames. Fallback to ReadPixels on GLES devices without AsyncGPUReadback support.","- Export 10s clip at 1080p 30fps in under 30 seconds
- Screenshot saves to gallery correctly
- Progress bar shows and cancel works
- Export captures composite output, not phone preview
- Works on both Vulkan and GLES devices",5,export,media,High,Core Dev Lead,MAPT-EXPORT
Story,MAPT-EXPORT,Project browser UI,Grid of project cards (thumbnail + name + last modified). Create new project button (prominent). Long-press for delete/duplicate/rename context menu. Search/filter when 10+ projects. Sort by last modified (default).,"- Intuitive project management
- All CRUD operations work
- Search filters correctly
- Empty state handled gracefully",3,ui,ui,Medium,UI/UX Dev,MAPT-EXPORT
Story,MAPT-EXPORT,QA: Save/load and export edge cases,Test save/load roundtrip fidelity (pixel comparison). Test corrupt JSON handling. Test export with limited storage. Test auto-save during heavy rendering. Test missing media files after import. Test project from different aspect ratio device. Test storage full during save.,"- All edge cases handled without crash
- Graceful error messages for all failure modes
- Auto-save does not cause frame drops
- Cross-device project loading handles aspect ratio differences",3,qa,export,High,QA Engineer,MAPT-EXPORT
Epic,,MAPT-POLISH,"Phase 6: Polish, UI/UX and Onboarding — Onboarding flow (first-launch tutorial), UI animations and transitions, haptic feedback, settings screen, 3-5 template projects, app icon and splash screen, Firebase Analytics integration.","- New user completes onboarding and creates first projection in under 3 minutes
- All UI transitions smooth (no jank)
- Settings changes apply immediately without restart
- Template projects load correctly on all test devices
- Splash screen displays correctly on all screen sizes",16,polish,ui,Medium,UI/UX Designer,
Story,MAPT-POLISH,Onboarding flow (first launch tutorial),"4-5 screen onboarding: (1) Welcome + branding with logo animation, (2) Connect your projector with cable illustration and detection, (3) Import or draw quick demo, (4) Warp to fit with corner-drag animation, (5) You're ready with create first project. Implement with UI Toolkit, swipe-to-advance, skip button. Coach marks: contextual tooltips on first use of each tool.","- New users complete onboarding in under 3 minutes
- Skip button available on all screens
- Coach marks appear on first tool use
- Onboarding detects if projector already connected",5,onboard,ui,Medium,UI/UX Dev,MAPT-POLISH
Story,MAPT-POLISH,UI animations and haptic feedback,"Panel slide-in/out animations (200 ms ease-in-out). Tool switch transitions. Button press feedback (scale 95% + haptic). Toast notifications (slide up, auto-dismiss 3s). Haptic: use Android VibrationEffect.createOneShot(10, 128) via native plugin for subtle taps (not Handheld.Vibrate which is too crude).","- All transitions smooth at 60 fps
- Haptic feedback subtle and appropriate
- No animation jank during heavy rendering
- App feels premium and responsive",5,ui,ui,Medium,UI/UX Dev,MAPT-POLISH
Story,MAPT-POLISH,Settings screen,"Display section: resolution override, force display mode. Performance section: Quality/Balanced/Performance mode toggle. Drawing section: default brush size, pressure sensitivity curve. About section: version, licenses, feedback link. Dark theme with all states styled (pressed, disabled, focused).","- All settings apply immediately without restart
- Settings persist across app launches
- Performance mode toggle works with toast on first switch",3,ui,ui,Medium,UI/UX Dev,MAPT-POLISH
Story,MAPT-POLISH,Template projects and content,"Create 3-5 template projects: Geometric Pulse (kaleidoscope + mesh warp), Holiday Lights (color cycle + 4-corner), Abstract Flow (wave distortion + drawing), Logo Spotlight (tunnel + edge glow). Store as Addressable assets. Generate template thumbnails for project browser.","- Templates load and render correctly on all test devices
- Thumbnails show in project browser
- Users can modify templates and save as new project",3,templates,creative,Low,UI/UX Designer,MAPT-POLISH
Story,MAPT-POLISH,"Splash screen, app icon, and analytics","Implement splash screen with custom animated logo (1.5s max). Finalize adaptive icon set from Maptifier #1. Implement AnalyticsService (Firebase): events for app_open, project_created, project_loaded, media_imported, display_connected, export_completed, effect_applied, session_duration. No PII, GDPR consent dialog if EU distribution.","- Splash displays correctly on all screen sizes
- App icon looks correct as adaptive and legacy
- Analytics events fire correctly in release build
- No PII collected",3,core,core,Medium,Core Dev Lead,MAPT-POLISH
Story,MAPT-POLISH,QA: Onboarding usability and UI polish testing,"Onboarding usability test: 3+ non-technical users, record success rate and pain points. UI accessibility audit: contrast ratios >= 4.5:1 (WCAG AA), touch targets >= 48dp. Test all UI states: empty, error, loading, overflow text. Test templates on all devices.","- Usability test results documented
- All contrast ratios meet WCAG AA
- All touch targets >= 48dp
- No broken UI states",3,qa,ui,Medium,QA Engineer,MAPT-POLISH
Epic,,MAPT-TEST,"Phase 7: Testing, Optimization and Device Certification — Full test pass on 10+ devices across 3+ OEMs. Performance optimization for 60 fps on all targets. Crash-free rate > 99.5%. Memory under 512 MB. Battery optimization. Wireless display fallback. Thermal throttling testing under stage-like conditions.","- All target devices sustain 60 fps with dual layers + 1 effect each
- No ANR in 100 test sessions
- Cold start under 3 seconds on mid-range
- Video export works on all tested devices
- Zero critical bugs, under 5 major bugs remaining",21,test,qa,High,QA Engineer,
Story,MAPT-TEST,Full device matrix testing (10+ devices),"Execute full test plan on: Samsung Galaxy S23/S24, Galaxy A54/A55, Pixel 7a/8a, Xiaomi Redmi Note 12/13 Pro, OnePlus Nord 3/4, Galaxy Tab S9. Test categories: Functional (every feature), Performance (fps, memory, battery, thermal), Stress (30-min continuous use, rapid switching, 10+ saves), Edge (airplane mode, low storage, low battery, TalkBack, split-screen), External display (every device + adapter), Lifecycle (home, recent apps, phone call, notification, rotation). Thermal throttling: 30-minute dual-layer + effects in 30-35C ambient simulating stage lights.","- Test report for every device/feature combination
- All target devices pass performance thresholds
- Thermal test shows no crash or sub-30fps drop
- All lifecycle scenarios handled gracefully",8,test,qa,High,QA Engineer,MAPT-TEST
Story,MAPT-TEST,Per-device GPU optimization pass,"Profile every device using Unity Profiler, FrameTimingManager, Android GPU Inspector (Adreno) / ARM Streamline (Mali). Optimize: Adreno (half precision, avoid dependent texture reads, Vulkan), Mali (minimize fragment complexity, avoid discard), PowerVR (tile-based compatibility). Implement GPU capability tiers: Tier 1 full, Tier 2 75% RT, Tier 3 50% RT. Detect via SystemInfo on first launch.","- All target devices meet 60 fps target
- Per-device profiling reports completed
- GPU tiers correctly detected and applied
- Shader analysis clean on Mali Offline Compiler",5,perf,graphics,High,Graphics Dev,MAPT-TEST
Story,MAPT-TEST,Wireless display fallback (Cast/Miracast),"Implement Miracast/Google Cast detection via MediaRouter API. Cast composite RT as media route. Known limitation: Cast has 100-200 ms latency; show warning to user. Test on Chromecast, Miracast-compatible TV, Samsung Smart View.","- Wireless display works as secondary option
- Latency warning shown to user
- Graceful fallback when wired unavailable",5,display,core,Medium,Core Dev Lead,MAPT-TEST
Story,MAPT-TEST,Stability hardening,"Global exception handler: catch unhandled exceptions, log to Crashlytics, show recovery dialog. ANR watchdog: monitor main thread, log if approaching 5s threshold. Audit all async code for exception handling and cancellation. Test with Android 'Don't keep activities' enabled. Pre-warm critical shaders during splash to avoid first-launch compilation stutter (ShaderVariantCollection).","- Crash-free rate > 99.5% in 100 sessions
- No ANR occurrences
- No first-launch shader stutter
- Recovery dialog works for unhandled exceptions",5,core,core,High,Core Dev Lead,MAPT-TEST
Story,MAPT-TEST,Regression testing and visual comparison,Full regression pass after each optimization fix. Automated screenshot comparison for visual regression (capture composite output vs baseline). Verify no visual regressions from optimization changes.,"- Regression suite covers all features
- Visual comparison baseline established
- No regressions introduced by optimization",3,qa,qa,High,QA Engineer,MAPT-TEST
Epic,,MAPT-RELEASE,"Phase 8: Release Preparation and Store Assets — Signed release AAB, Play Store listing (screenshots, feature graphic, description), privacy policy, ProGuard/R8 rules, pre-launch report via Firebase Test Lab, launch checklist.","- AAB passes Play Store pre-launch checks with no critical issues
- AAB size: base APK <= 95 MB + asset packs <= 40 MB (total <= 135 MB installed)
- All store assets meet Play Store requirements
- Privacy policy covers all data collection
- App rated Everyone on IARC content rating",13,release,core,High,Core Dev Lead,
Story,MAPT-RELEASE,Build signed release AAB,"Configure release signing keystore (NOT in repo). ProGuard/R8 rules for Unity, Firebase, reflection-based code. Test release build thoroughly. Enable AAB + Play Asset Delivery for Addressables. Base APK target <= 95 MB, asset packs <= 40 MB. Version 1.0.0 / code 1. Final IL2CPP Release build with stripping. Use [Preserve] attribute / link.xml for reflection targets.","- AAB builds and signs correctly
- Base APK <= 95 MB
- ProGuard/R8 does not break serialization or shader loading
- IL2CPP stripping does not remove needed code",5,release,core,High,Core Dev Lead,MAPT-RELEASE
Story,MAPT-RELEASE,Prepare Play Store listing and assets,"Screenshots (5-8): external display projecting, 4-corner warping, drawing, effects library, dual-layer mixing, project browser, onboarding. Feature graphic: 1024x500 from logo. App icon: 512x512. Short description (80 char): Turn your Android phone into a pocket projection mapper. Full description with features and requirements. Demo video: 30-60 second screen recording.","- All assets meet Play Store size requirements
- Screenshots show key features clearly
- Description is keyword-optimized
- Demo video shows core workflow",3,design,ui,Medium,UI/UX Designer,MAPT-RELEASE
Story,MAPT-RELEASE,Privacy policy and content rating,"Privacy policy page (GitHub Pages): crash logs (Crashlytics), anonymous analytics (Firebase), no PII, no accounts, no ads, data retention policy. IARC content rating questionnaire. Target API level compliance (SDK 34 for 2026 Play Store). Pre-launch report via Firebase Test Lab on 10+ devices.","- Privacy policy published and linked in store listing
- Content rating: Everyone
- SDK 34 target compliance verified
- Pre-launch report clean (no critical issues)",3,core,core,High,Core Dev Lead,MAPT-RELEASE
Story,MAPT-RELEASE,QA: Final release validation,"Install release AAB via bundletool on all test devices. Full smoke test of every feature. Verify no debug logs, no dev watermarks, no placeholder content. Verify analytics fire in release. Verify Crashlytics works (intentional crash test). Final sign-off checklist.","- Release build passes full smoke test
- No debug artifacts in release
- Analytics and crash reporting verified
- Sign-off checklist completed",3,qa,core,High,QA Engineer,MAPT-RELEASE
